// Note average FPS was incorrectly divided by 12 instead of 10. Processed data fixes this mistake and formats the data better for a csv
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:5000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:919.507, Data: 1109.8, 1104.86, 1098.96, 1098.88, 1102.65, 1099.17, 1115.87, 1094.06, 1103, 1106.84, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:10000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:515.862, Data: 623.93, 614.013, 616.236, 619.358, 621.802, 617.958, 618.582, 619.277, 619.135, 620.055, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:25000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:134.537, Data: 148.118, 152.355, 154.78, 159.057, 164.832, 162.381, 164.55, 168.616, 169.906, 169.85, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:40.3107, Data: 47.5212, 47.1917, 47.664, 48.3129, 49.3864, 48.5303, 48.746, 48.6992, 48.6929, 48.9838, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:100000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:10.4849, Data: 12.2577, 12.5642, 12.4388, 12.7291, 12.5423, 12.7202, 12.6675, 12.4264, 12.7009, 12.7715, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:250000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1.69007, Data: 1.95682, 2.03793, 2.05672, 2.07253, 2.042, 2.04581, 1.93993, 1.99542, 2.09031, 2.04341, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:500000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.432583, Data: 0.514608, 0.524682, 0.526058, 0.52036, 0.523293, 0.514972, 0.518819, 0.516847, 0.511484, 0.519869, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:5000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1780.11, Data: 2077.87, 2124.38, 2140.62, 2099.89, 2181.36, 2235.33, 2124.64, 2121.63, 2130.38, 2125.21, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:10000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1748.85, Data: 2090.78, 2093.95, 2106.73, 2104.2, 2132.95, 2132.95, 2071.85, 2068.68, 2088.67, 2095.4, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:25000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1325.22, Data: 1648.82, 1642.87, 1663.27, 1654.77, 1584.29, 1557.23, 1575.12, 1503.46, 1524.85, 1547.93, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:50000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:802.206, Data: 869.139, 916.385, 921.852, 940.928, 995.588, 991.987, 1036.81, 1041.32, 960.219, 952.245, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:100000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:428.457, Data: 508.81, 478.183, 477.24, 500.727, 519.893, 530.958, 539.919, 525.331, 524.632, 535.791, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:250000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:148.066, Data: 174.465, 182.122, 175.201, 176.602, 178.191, 176.1, 178.821, 177.707, 177.725, 179.856, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:500000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:44.0612, Data: 55.0846, 54.0375, 52.6078, 52.5181, 53.0859, 53.2199, 53.3629, 52.0353, 51.183, 51.5992, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:5000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1745.6, Data: 2208.32, 2200.79, 2136.05, 2162.66, 2183.34, 2020.76, 2316.82, 1891.87, 1947.81, 1878.74, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:10000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1651.35, Data: 2329.6, 1921.03, 1958.29, 1997.87, 1941.4, 1952.14, 1926.82, 1896.55, 1971.22, 1921.29, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:25000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1715.83, Data: 1906.2, 1886.64, 1983.66, 1948.22, 1896.54, 2032.85, 2300.91, 2295.53, 2225.54, 2113.82, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:50000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1677.07, Data: 2034.44, 2096.67, 2006.22, 2041.95, 1987.91, 1992.8, 2004.38, 1962.13, 1998.29, 2000.06, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:100000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1311.44, Data: 1601.94, 1593.17, 1564.12, 1587.7, 1570.64, 1570.77, 1565.17, 1545.15, 1575.57, 1563, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:250000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:620.41, Data: 728.677, 722.393, 740.913, 737.652, 756.51, 750.81, 743.234, 752.43, 767.461, 744.836, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:500000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:275.051, Data: 302.284, 328.172, 327.869, 327.811, 327.127, 331.612, 338.873, 336.837, 340.92, 339.105, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:91.012, Data: 104.41, 109.535, 110.188, 109.922, 110.523, 109.993, 109.998, 110.516, 109.556, 107.502, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:2000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:26.4164, Data: 29.8735, 30.4449, 30.7009, 31.3575, 32.1299, 32.4932, 32.5359, 32.5703, 32.4751, 32.4158, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:1000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:12.1433, Data: 14.0264, 14.0909, 14.2572, 14.5596, 14.8143, 14.7995, 14.7737, 14.8069, 14.8116, 14.7793, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:2000000, Block Size: 128, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:2.62929, Data: 2.96731, 3.02818, 3.12581, 3.21074, 3.21358, 3.21316, 3.19532, 3.20256, 3.19963, 3.19512, 

