Visualize,Uniform Grid,Coherent Grid,Boid Count,Block Size,Grid Looping Optimization,Grid Width Scale,Average FPS
0,0,0,5000,128,0,2,1103.4084
0,0,0,10000,128,0,2,619.0344
0,0,0,25000,128,0,2,161.4444
0,0,0,50000,128,0,2,48.37284
0,0,0,100000,128,0,2,12.58188
0,0,0,250000,128,0,2,2.028084
0,0,0,500000,128,0,2,0.5190996
0,1,0,5000,128,0,2,2136.132
0,1,0,10000,128,0,2,2098.62
0,1,0,25000,128,0,2,1590.264
0,1,0,50000,128,0,2,962.6472
0,1,0,100000,128,0,2,514.1484
0,1,0,250000,128,0,2,177.6792
0,1,0,500000,128,0,2,52.87344
0,1,1,5000,128,0,2,2094.72
0,1,1,10000,128,0,2,1981.62
0,1,1,25000,128,0,2,2058.996
0,1,1,50000,128,0,2,2012.484
0,1,1,100000,128,0,2,1573.728
0,1,1,250000,128,0,2,744.492
0,1,1,500000,128,0,2,330.0612
0,1,1,1000000,128,0,2,109.2144
0,1,1,2000000,128,0,2,31.69968
0,1,0,1000000,128,0,2,14.57196
0,1,0,2000000,128,0,2,3.155148
0,1,1,5000,256,0,2,1913.592
0,1,1,10000,256,0,2,2165.7
0,1,1,25000,256,0,2,2107.392
0,1,1,50000,256,0,2,1782.384
0,1,1,100000,256,0,2,1580.628
0,1,1,250000,256,0,2,741.9432
0,1,1,500000,256,0,2,322.4928
0,1,1,1000000,256,0,2,104.25036
0,1,1,20000000,256,0,2,0.3509052
0,1,1,5000,512,0,2,2036.352
0,1,1,10000,512,0,2,2170.788
0,1,1,25000,512,0,2,1880.676
0,1,1,50000,512,0,2,1707.12
0,1,1,100000,512,0,2,1543.38
0,1,1,250000,512,0,2,774.4788
0,1,1,500000,512,0,2,329.166
0,1,1,1000000,512,0,2,106.65756
0,1,1,2000000,512,0,2,31.27884
0,1,1,5000,1024,0,2,2236.152
0,1,1,10000,1024,0,2,2187.36
0,1,1,25000,1024,0,2,2150.376
0,1,1,50000,1024,0,2,1812.588
0,1,1,100000,1024,0,2,1555.416
0,1,1,250000,1024,0,2,777.174
0,1,1,500000,1024,0,2,320.4372
0,1,1,1000000,1024,0,2,99.74112
0,1,1,2000000,1024,0,2,28.72128
0,1,1,5000,64,0,2,2186.856
0,1,1,10000,64,0,2,1950.6
0,1,1,25000,64,0,2,1813.02
0,1,1,50000,64,0,2,1952.148
0,1,1,100000,64,0,2,1527.636
0,1,1,250000,64,0,2,746.2164
0,1,1,500000,64,0,2,310.26
0,1,1,1000000,64,0,2,100.81956
0,1,1,2000000,64,0,2,29.88096
0,0,0,5000,64,0,2,1106.3676
0,0,0,10000,64,0,2,631.3488
0,0,0,25000,64,0,2,174.9336
0,0,0,50000,64,0,2,48.53772
0,0,0,100000,64,0,2,12.51336
0,0,0,250000,64,0,2,2.052912
0,0,0,500000,64,0,2,0.5170668
0,0,0,5000,256,0,2,1100.2152
0,0,0,10000,256,0,2,582.0828
0,0,0,25000,256,0,2,176.7624
0,0,0,50000,256,0,2,46.14108
0,0,0,50000,256,0,2,47.1888
0,0,0,100000,256,0,2,12.60384
0,0,0,250000,256,0,2,2.044356
0,0,0,500000,256,0,2,0.5215848
0,0,0,5000,1024,0,2,672.546
0,0,0,10000,1024,0,2,365.976
0,0,0,25000,1024,0,2,153.6444
0,0,0,50000,1024,0,2,39.63816
0,0,0,100000,1024,0,2,12.29556
0,0,0,250000,1024,0,2,2.036736
0,0,0,500000,1024,0,2,0.50355
0,0,0,5000,512,0,2,1012.2948
0,0,0,10000,512,0,2,569.1456
0,0,0,25000,512,0,2,148.422
0,0,0,50000,512,0,2,47.0376
0,0,0,100000,512,0,2,12.13332
0,0,0,250000,512,0,2,2.062392
0,0,0,500000,512,0,2,0.5159652
0,1,0,5000,64,0,2,2103.252
0,1,0,10000,64,0,2,1778.244
0,1,0,25000,64,0,2,1496.256
0,1,0,50000,64,0,2,984.1872
0,1,0,100000,64,0,2,516.6888
0,1,0,250000,64,0,2,169.8816
0,1,0,500000,64,0,2,49.90416
0,1,0,5000,256,0,2,2122.824
0,1,0,10000,256,0,2,1918.596
0,1,0,25000,256,0,2,1527.096
0,1,0,50000,256,0,2,952.32
0,1,0,100000,256,0,2,517.9968
0,1,0,250000,256,0,2,171.0432
0,1,0,500000,256,0,2,50.4282
0,1,0,5000,512,0,2,2152.944
0,1,0,10000,512,0,2,1949.904
0,1,0,25000,512,0,2,1673.64
0,1,0,50000,512,0,2,974.9208
0,1,0,100000,512,0,2,558.0828
0,1,0,250000,512,0,2,178.0968
0,1,0,500000,512,0,2,52.03848
0,1,0,5000,1024,0,2,1989.9
0,1,0,10000,1024,0,2,1912.092
0,1,0,25000,1024,0,2,1469.244
0,1,0,50000,1024,0,2,998.1528
0,1,0,100000,1024,0,2,563.6244
0,1,0,250000,1024,0,2,175.6644
0,1,0,500000,1024,0,2,51.75444
0,1,0,5000,128,0,1,1977.108
0,1,0,10000,128,0,1,1958.244
0,1,0,25000,128,0,1,1251.036
0,1,0,50000,128,0,1,1119.744
0,1,0,100000,128,0,1,748.8924
0,1,0,250000,128,0,1,292.3104
0,1,0,500000,128,0,1,97.16604
0,1,0,5000,128,1,1,1692.924
